id,nombre,apellido,provincia,email,telefono,area
1,rogelio,gimenez,Álava,dr.rogelio.gimenez@yopmail.com,+34 695819913,cardiología
2,fito,segovia,Álava,dr.fito.segovia@yopmail.com,+34 673522180,neumología
3,nilda,barragan,Álava,dr.nilda.barragan@yopmail.com,+34 633932715,endocrinología
4,rafael,agustin,Álava,dr.rafael.agustin@yopmail.com,+34 623140024,neurología
5,tiburcio,casado,Álava,dr.tiburcio.casado@yopmail.com,+34 630911305,gastroenterología
6,leon,villegas,Álava,dr.leon.villegas@yopmail.com,+34 667773310,alergología
7,casandra,bellido,Álava,dr.casandra.bellido@yopmail.com,+34 695916045,psiquiatría
8,encarna,lopez,Álava,dr.encarna.lopez@yopmail.com,+34 663888669,médico de cabecera
9,olivia,belmonte,Albacete,dr.olivia.belmonte@yopmail.com,+34 674609525,cardiología
10,elvira,carlos,Albacete,dr.elvira.carlos@yopmail.com,+34 652366724,neumología
11,ruperto,caparros,Albacete,dr.ruperto.caparros@yopmail.com,+34 620370082,endocrinología
12,hector,bosch,Albacete,dr.hector.bosch@yopmail.com,+34 699635373,neurología
13,maria_teresa,almansa,Albacete,dr.maria_teresa.almansa@yopmail.com,+34 635205418,gastroenterología
14,emilia,talavera,Albacete,dr.emilia.talavera@yopmail.com,+34 662828785,alergología
15,ciriaco,lago,Albacete,dr.ciriaco.lago@yopmail.com,+34 696969401,psiquiatría
16,amancio,anaya,Albacete,dr.amancio.anaya@yopmail.com,+34 654874536,médico de cabecera
17,jose_luis,patino,Alicante,dr.jose_luis.patino@yopmail.com,+34 694810000,cardiología
18,julian,fonseca,Alicante,dr.julian.fonseca@yopmail.com,+34 614194723,neumología
19,asuncion,olivera,Alicante,dr.asuncion.olivera@yopmail.com,+34 694509660,endocrinología
20,vanesa,milla,Alicante,dr.vanesa.milla@yopmail.com,+34 654252137,neurología
21,amilcar,romeu,Alicante,dr.amilcar.romeu@yopmail.com,+34 697679721,gastroenterología
22,soledad,blasco,Alicante,dr.soledad.blasco@yopmail.com,+34 608627004,alergología
23,edelmira,feliu,Alicante,dr.edelmira.feliu@yopmail.com,+34 670043751,psiquiatría
24,jessica,peiro,Alicante,dr.jessica.peiro@yopmail.com,+34 624822728,médico de cabecera
25,evita,lledo,Almería,dr.evita.lledo@yopmail.com,+34 616729704,cardiología
26,abigail,nunez,Almería,dr.abigail.nunez@yopmail.com,+34 686477981,neumología
27,cayetano,salmeron,Almería,dr.cayetano.salmeron@yopmail.com,+34 678466164,endocrinología
28,sonia,requena,Almería,dr.sonia.requena@yopmail.com,+34 656838732,neurología
29,isidro,almagro,Almería,dr.isidro.almagro@yopmail.com,+34 623412643,gastroenterología
30,nazario,fernandez,Almería,dr.nazario.fernandez@yopmail.com,+34 654151313,alergología
31,francisco,oliva,Almería,dr.francisco.oliva@yopmail.com,+34 625483004,psiquiatría
32,jenaro,luis,Almería,dr.jenaro.luis@yopmail.com,+34 693251735,médico de cabecera
33,cleto,galindo,Asturias,dr.cleto.galindo@yopmail.com,+34 625453727,cardiología
34,nazaret,oliver,Asturias,dr.nazaret.oliver@yopmail.com,+34 646016564,neumología
35,jorge,neira,Asturias,dr.jorge.neira@yopmail.com,+34 663165757,endocrinología
36,sandalio,quintana,Asturias,dr.sandalio.quintana@yopmail.com,+34 616587375,neurología
37,aranzazu,viana,Asturias,dr.aranzazu.viana@yopmail.com,+34 665567380,gastroenterología
38,graciano,galindo,Asturias,dr.graciano.galindo@yopmail.com,+34 689707410,alergología
39,sol,sevilla,Asturias,dr.sol.sevilla@yopmail.com,+34 620966874,psiquiatría
40,gema,galiano,Asturias,dr.gema.galiano@yopmail.com,+34 672732393,médico de cabecera
41,felicia,bernal,Ávila,dr.felicia.bernal@yopmail.com,+34 689525976,cardiología
42,noemi,hidalgo,Ávila,dr.noemi.hidalgo@yopmail.com,+34 688120993,neumología
43,ema,marquez,Ávila,dr.ema.marquez@yopmail.com,+34 654125886,endocrinología
44,fulgencio,querol,Ávila,dr.fulgencio.querol@yopmail.com,+34 661426144,neurología
45,judith,feliu,Ávila,dr.judith.feliu@yopmail.com,+34 640998230,gastroenterología
46,ainara,camino,Ávila,dr.ainara.camino@yopmail.com,+34 627282742,alergología
47,adolfo,torrijos,Ávila,dr.adolfo.torrijos@yopmail.com,+34 681467196,psiquiatría
48,nazario,rius,Ávila,dr.nazario.rius@yopmail.com,+34 685940731,médico de cabecera
49,clemente,cerro,Badajoz,dr.clemente.cerro@yopmail.com,+34 659195204,cardiología
50,dionisia,garces,Badajoz,dr.dionisia.garces@yopmail.com,+34 679557227,neumología
51,cipriano,rincon,Badajoz,dr.cipriano.rincon@yopmail.com,+34 606534553,endocrinología
52,norberto,patino,Badajoz,dr.norberto.patino@yopmail.com,+34 652813787,neurología
53,cecilio,roldan,Badajoz,dr.cecilio.roldan@yopmail.com,+34 698083020,gastroenterología
54,teodora,cantero,Badajoz,dr.teodora.cantero@yopmail.com,+34 688889642,alergología
55,rico,quintero,Badajoz,dr.rico.quintero@yopmail.com,+34 679424609,psiquiatría
56,leonel,clemente,Badajoz,dr.leonel.clemente@yopmail.com,+34 689560458,médico de cabecera
57,corona,juan,Baleares,dr.corona.juan@yopmail.com,+34 698804024,cardiología
58,fidel,canovas,Baleares,dr.fidel.canovas@yopmail.com,+34 659553262,neumología
59,maxi,suarez,Baleares,dr.maxi.suarez@yopmail.com,+34 626299967,endocrinología
60,rocio,ramon,Baleares,dr.rocio.ramon@yopmail.com,+34 682861240,neurología
61,pilar,segura,Baleares,dr.pilar.segura@yopmail.com,+34 617277840,gastroenterología
62,chita,tur,Baleares,dr.chita.tur@yopmail.com,+34 602946418,alergología
63,reyes,abellan,Baleares,dr.reyes.abellan@yopmail.com,+34 676713865,psiquiatría
64,isa,ricart,Baleares,dr.isa.ricart@yopmail.com,+34 645549468,médico de cabecera
65,reyes,escobar,Barcelona,dr.reyes.escobar@yopmail.com,+34 635945629,cardiología
66,americo,puerta,Barcelona,dr.americo.puerta@yopmail.com,+34 607515590,neumología
67,jose_carlos,diez,Barcelona,dr.jose_carlos.diez@yopmail.com,+34 603842715,endocrinología
68,juan_antonio,izquierdo,Barcelona,dr.juan_antonio.izquierdo@yopmail.com,+34 673660205,neurología
69,cipriano,sola,Barcelona,dr.cipriano.sola@yopmail.com,+34 622756654,gastroenterología
70,genoveva,lucas,Barcelona,dr.genoveva.lucas@yopmail.com,+34 639770386,alergología
71,eleuterio,salvador,Barcelona,dr.eleuterio.salvador@yopmail.com,+34 608810966,psiquiatría
